"hs_code","Description"
"2811299010","Tellurium dioxide (CAS|RN 7446-07-3)"
"2811299020","Diarsenic pentaoxide (CAS RN 1303-28-2)"
"2811299090","Other"
"2812","III. HALOGEN OR SULPHUR COMPOUNDS OF NON-METALS"
"2812","Halides and halide oxides of non-metals"
"281211","Chlorides and chloride oxides"
"281211","Carbonyl dichloride (phosgene)"
"281212","Phosphorus oxychloride"
"281213","Phosphorus trichloride"
"281214","Phosphorus pentachloride"
"281215","Sulphur monochloride"
"281216","Sulphur dichloride"
"281217","Thionyl chloride"
"281219","Other"
"28121910","Of phosphorus"
"28121990","Other"
"281290","Other"
"2812900010","Nitrogen trifluoride (CAS RN 7783-54-2)"
"2812900090","Other"
"2813","Sulphides of non-metals; commercial phosphorus trisulphide"
"281310","Carbon disulphide"
"281390","Other"
"28139010","Phosphorus sulphides, commercial phosphorus trisulphide"
"28139090","Other"
"2814","IV. INORGANIC BASES AND OXIDES, HYDROXIDES AND PEROXIDES OF METALS"
"2814","Ammonia, anhydrous or in aqueous solution"
"281410","Anhydrous ammonia"
"281420","Ammonia in aqueous solution"
"2815","Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash); peroxides of sodium or potassium"
"281511","Sodium hydroxide (caustic soda)"
"281511","Solid"
"281512","In aqueous solution (soda lye or liquid soda)"
"281520","Potassium hydroxide (caustic potash)"
"281530","Peroxides of sodium or potassium"
"2816","Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium"
"281610","Hydroxide and peroxide of magnesium"
"281640","Oxides, hydroxides and peroxides, of strontium or barium"
"2816400010","Barium hydroxide (CAS RN 17194-00-2)"
"2816400090","Other"
"2817","Zinc oxide; zinc peroxide"
"2818","Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide"
"281810","Artificial corundum, whether or not chemically defined"
"28181011","With an aluminium oxide content of 98,5|% by weight or more"
"28181011","With less than 50|% of the total weight having a particle size of more than 10|mm"
"2818101110","Sol-Gel corundum (CAS RN 1302-74-5) with an aluminium oxide content of 99,6 % or more by weight, having a micro crystalline structure in the form of rods with an aspect ratio of 1,3 or more, but not more than 6,0"
"2818101190","Other"
"28181019","With 50|% or more of the total weight having a particle size of more than 10|mm"
"28181091","With an aluminium oxide content of less than 98,5|% by weight"
"28181091","With less than 50|% of the total weight having a particle size of more than 10|mm"
"2818109120","Sintered corundum with a micro crystalline structure, consisting of aluminium oxide (CAS|RN|1344-28-1), magnesium aluminate (CAS|RN|12068-51-8) and the rare earth aluminates of yttrium, lanthanum, and neodymium, with a content by weight (calculated as oxi"
"2818109190","Other"
"28181099","With 50|% or more of the total weight having a particle size of more than 10|mm"
"281820","Aluminium oxide, other than artificial corundum"
"2818200010","Activated alumina with a specific surface area of at least 350 m²/g"
"2818200090","Other"
"281830","Aluminium hydroxide"
"2818300020","Aluminium hydroxide (CAS RN 21645-51-2)
 
-|in the form of powder
 
-|with a purity by weight of 99,5|% or more
 
-|with a decomposition point of 263o C or more
 
-|with| a particle size of 4|µm (± 1|µm)
 
-|with a Total-Na2O-content by weight of not more"
"2818300030","Aluminium hydroxide oxide|(CAS RN 1318-23-6) in the form of boehmite or pseudoboehmite"
"2818300090","Other"
"2819","Chromium oxides and hydroxides"
"281910","Chromium trioxide"
"281990","Other"
"28199010","Chromium dioxide"
"28199090","Other"
"2819909010","Dichromium trioxide for use in metallurgy (CAS RN 1308-38-9)"
"2819909020","dihydroxy(dioxo)chromium (CAS RN 7738-94-5)"
"2819909030","Dichromic acid (CAS RN 13530-68-2)"
"2819909090","Other"
"2820","Manganese oxides"
"282010","Manganese dioxide"
"282090","Other"
"28209010","Manganese oxide containing by weight 77|% or more of manganese"
"28209090","Other"
"2821","Iron oxides and hydroxides; earth colours containing 70|% or more by weight of combined iron evaluated as Fe@2O@3"
"282110","Iron oxides and hydroxides"
"282120","Earth colours"
"2822","Cobalt oxides and hydroxides; commercial cobalt oxides"
"2823","Titanium oxides"
"2823000010","Titanium dioxide (CAS RN 13463-67-7):
 
-|of a purity by weight of 99,9|% or more,
 
-|with an average grain-size of 0,7|μm or more but not more than 2,1|μm
"
"2823000090","Other"
"2824","Lead oxides; red lead and orange lead"
"282410","Lead monoxide (litharge, massicot)"
"282490","Other"
"2825","Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides"
"282510","Hydrazine and hydroxylamine and their inorganic salts"
"2825100010","Hydroxylammonium chloride (CAS RN 5470-11-1)"
"2825100090","Other"
"282520","Lithium oxide and hydroxide"
"2825200010","Lithium hydroxide monohydrate (CAS RN 1310-66-3)"
"2825200090","Other"
"282530","Vanadium oxides and hydroxides"
"282540","Nickel oxides and hydroxides"
"282550","Copper oxides and hydroxides"
"2825500020","Copper (I or II) oxide containing by weight 78|% or more of copper and not more than 0,03|% of chloride"
"2825500030","Copper (II) oxide (CAS RN 1317-38-0), with a particle size of not more than 100|nm"
"2825500080","Other"
"282560","Germanium oxides and zirconium dioxide"
"2825600010","Zirconium dioxide (CAS RN 1314-23-4)"
"2825600090","Other"
"282570","Molybdenum oxides and hydroxides"
"2825700010","Molybdenum trioxide (CAS RN 1313-27-5)"
"2825700020","Molybdic Acid (CAS RN 7782-91-4)"
"2825700090","Other"
"282580","Antimony oxides"
"282590","Other"
"28259011","Calcium oxide, hydroxide and peroxide"
"28259011","Calcium hydroxide of a purity of 98|% or more calculated on the dry weight, in the form of particles of which:
-|not more than 1|% by weight have a particle-size exceeding 75|micrometres and
-|not more than 4|% by weight have a particle-size of less than "
"28259019","Other"
"28259020","Beryllium oxide and hydroxide"
"28259040","Tungsten oxides and hydroxides"
"2825904030","Tungsten trioxide, including blue tungsten oxide (CAS RN 1314-35-8 or CAS RN 39318-18-8)"
"2825904080","Other"
"28259060","Cadmium oxide"
"28259085","Other"
"2825908510","Tin oxides and hydroxides"
"2825908590","Other"
"2826","V. SALTS AND PEROXYSALTS, OF INORGANIC ACIDS AND METALS"
"2826","Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts"
"282612","Fluorides"
"282612","Of aluminium"
"282619","Other"
"28261910","Of ammonium or of sodium"
"28261990","Other"
"2826199010","Tungsten hexafluoride with a purity of|99,9|% by weight|or more (CAS RN 7783-82-6)"
"2826199090","Other"
"282630","Sodium hexafluoroaluminate (synthetic cryolite)"
"282690","Other"
"28269010","Dipotassium hexafluorozirconate"
"28269080","Other"
"2826908030","Lithium hexafluorophosphate (CAS RN 21324-40-3) with a purity by weight of 99 % or more"
"2826908090","Other"
"2827","Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides"
"282710","Ammonium chloride"
"282720","Calcium chloride"
"282731","Other chlorides"
"282731","Of magnesium"
"282732","Of aluminium"
"282735","Of nickel"
"282739","Other"
"28273910","Of tin"
"28273920","Of iron"
"28273930","Of cobalt"
"28273985","Other"
"2827398510","Copper monochloride of a purity by weight of 96|% or more but not more than 99|% (CAS RN 7758-89-6)"
"2827398520","Antimony pentachloride of a purity by weight of 99|% or more (CAS RN 7647-18-9)"
"2827398540","Barium chloride dihydrate (CAS RN| 10326-27-9)"
"2827398590","Other"
"282741","Chloride oxides and chloride hydroxides"
"282741","Of copper"
"282749","Other"
"28274910","Of lead"
"28274990","Other"
"2827499010","Hydrated zirconium dichloride oxide (CAS RN 7699-43-6)"
"2827499090","Other"
"282751","Bromides and bromide oxides"
"282751","Bromides of sodium or of potassium"
"282759","Other"
"282760","Iodides and iodide oxides"
"2827600010","Sodium iodide (CAS RN 7681-82-5)"
"2827600090","Other"
"2828","Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites"
"282810","Commercial calcium hypochlorite and other calcium hypochlorites"
"2828100010","Calcium hypochlorite (CAS RN 7778-54-3) having an active chlorine content of 65 % or more"
"2828100090","Other"
"282890","Other"
"2829","Chlorates and perchlorates; bromates and perbromates; iodates and periodates"
"282911","Chlorates"
"282911","Of sodium"
"282919","Other"
"282990","Other"
"28299010","Perchlorates"
"28299040","Bromates of potassium or of sodium"
"28299080","Other"
"2830","Sulphides; polysulphides, whether or not chemically defined"
"283010","Sodium sulphides"
"2830100010","Disodium tetrasulfide  (CAS RN 12034-39-8), containing by weight 38|% or less of sodium calculated on the dry weight"
"2830100090","Other"
"283090","Other"
"28309011","Sulphides of calcium, of antimony or of iron"
"28309085","Other"
"2831","Dithionites and sulphoxylates"
"283110","Of sodium"
"283190","Other"
"2832","Sulphites; thiosulphates"
"283210","Sodium sulphites"
"283220","Other sulphites"
"283230","Thiosulphates"
"2833","Sulphates; alums; peroxosulphates (persulphates)"
"283311","Sodium sulphates"
"283311","Disodium sulphate"
"283319","Other"
"283321","Other sulphates"
"283321","Of magnesium"
"283322","Of aluminium"
"283324","Of nickel"
"283325","Of copper"
"2833250030","Copper hydroxide sulfate (Cu4(OH)6(SO4)), hydrate (CAS RN 12527-76-3) with a purity by weight of 98 % or more"
"2833250080","Other"
"283327","Of barium"
"283329","Other"
"28332920","Of cadmium; of chromium; of zinc"
"28332930","Of cobalt; of titanium"
"28332960","Of lead"
"28332980","Other"
"2833298020","Manganese sulphate monohydrate (CAS RN 10034-96-5)"
"2833298030","Zirconium sulphate (CAS RN 14644-61-2)"
"2833298040","Caesium sulphate (CAS RN 10294-54-9) in solid form or as aqueous solution containing by weight 48 % or more but not more than 52 % of caesium sulphate"
"2833298080","Other"
"283330","Alums"
"283340","Peroxosulphates (persulphates)"
"2834","Nitrites; nitrates"
"283410","Nitrites"
"283421","Nitrates"
"283421","Of potassium"
"283429","Other"
"28342920","Of barium; of beryllium; of cadmium; of cobalt; of nickel; of lead"
"28342940","Of copper"
"28342980","Other"
"2835","Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates; polyphosphates, whether or not chemically defined"
"283510","Phosphinates (hypophosphites) and phosphonates (phosphites)"
"2835100010","Sodium hypophosphite monohydrate (CAS RN 10039-56-2)"
"2835100020","Sodium hypophosphite| (CAS|RN|7681-53-0)"
"2835100030","Aluminium Phosphinate|(CAS RN 7784-22-7)"
"2835100090","Other"
"283522","Phosphates"
"283522","Of mono- or disodium"
"283524","Of potassium"
"283525","Calcium hydrogenorthophosphate ('dicalcium phosphate')"
"283526","Other phosphates of calcium"
"283529","Other"
"28352910","Of triammonium"
"28352930","Of trisodium"
"28352990","Other"
"283531","Polyphosphates"
"283531","Sodium triphosphate (sodium tripolyphosphate)"
"283539","Other"
"2836","Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate"
"283620","Disodium carbonate"
"283630","Sodium hydrogencarbonate (sodium bicarbonate)"
"283640","Potassium carbonates"
"283650","Calcium carbonate"
"283660","Barium carbonate"
"2836600010","Barium carbonate with a strontium content of more than 0,07% by weight and a sulphur content of more than 0,0015% by weight, whether in powder, pressed granular or calcined granular form"
"2836600090","Other"
"283691","Other"
"283691","Lithium carbonates"
"2836910020","Lithium carbonate, containing one or more of the following impurities at the concentrations indicated:
 
-|2|mg/kg or more of arsenic,
 
-|200|mg/kg or more of calcium,
 
-|200|mg/kg or more of chlorides,
 
-|20|mg/kg or more of iron,
 
-|150|mg/kg or mor"
"2836910090","Other"
"283692","Strontium carbonate"
"283699","Other"
"28369911","Carbonates"
"28369911","Of magnesium; of copper"
"28369917","Other"
"2836991730","Zirconium (IV) basic carbonate (CAS RN 57219-64-4|or 37356-18-6) with a purity by weight of 96|% or more"
"2836991780","Other"
"28369990","Peroxocarbonates (percarbonates)"
"2837","Cyanides, cyanide oxides and complex cyanides"
"283711","Cyanides and cyanide oxides"
"283711","Of sodium"
"283719","Other"
"2837190020","Copper cyanide (CAS RN 544-92-3)"
"2837190090","Other"
"283720","Complex cyanides"
"2837200010","Tetrasodium hexacyanoferrate (II), (CAS RN 13601-19-9)"
"2837200090","Other"
"2839","Silicates; commercial alkali metal silicates"
"283911","Of sodium"
"283911","Sodium metasilicates"
"283919","Other"
"2839190010","Disodium disilicate|(CAS RN 13870-28-5)"
"2839190090","Other"
"283990","Other"
"2839900020","Calcium silicate (CAS RN|1344-95-2)"
"2839900090","Other"
"2840","Borates; peroxoborates (perborates)"
"284011","Disodium tetraborate (refined borax)"
"284011","Anhydrous"
"284019","Other"
"28401910","Disodium tetraborate pentahydrate"
"28401990","Other"
"284020","Other borates"
"28402010","Borates of sodium, anhydrous"
"28402090","Other"
"2840209010","Zinc borate (CAS RN 12767-90-7)"
"2840209090","Other"
"284030","Peroxoborates (perborates)"
"2840300010","sodium peroxometaborate (Sodium perborate) (CAS RN 7632-04-4)"
"2840300090","Other"
"2841","Salts of oxometallic or peroxometallic acids"
"284130","Sodium dichromate"
"284150","Other chromates and dichromates; peroxochromates"
"2841500011","Potassium dichromate (CAS RN 7778-50-9)"
"2841500011","Potassium dichromate (CAS RN 7778-50-9) with a purity by weight of 99% or more, for use as intermediate for the production of chrome"
"2841500013","Other"
"2841500020","lead chromate (CAS RN 7758-97-6)"
"2841500030","Dichromium tris(chromate) (CAS RN 24613-89-6)"
"2841500040","Ammonium dichromate (CAS RN 7789-09-5)"
"2841500050","Pentazinc chromate octahydroxide (CAS RN 49663-84-5)"
"2841500060","Potassium chromate (CAS RN 7789-00-6)"
"2841500080","Sodium chromate (CAS RN 7775-11-3)"
"2841500085","Strontium chromate (CAS RN 7789-06-2)"
"2841500090","Other"
"284161","Manganites, manganates and permanganates"
"284161","Potassium permanganate"
"284169","Other"
"284170","Molybdates"
"2841700010","Diammonium tetraoxomolybdate(2-) (CAS|RN|13106-76-8)"
"2841700030","Hexaammonium heptamolybdate, anhydrous (CAS RN 12027-67-7) or as tetrahydrate (CAS RN 12054-85-2)"
"2841700040","Diammonium dimolybdate (CAS RN 27546-07-2)"
"2841700090","Other"
"284180","Tungstates (wolframates)"
"2841800010","Diammonium wolframate (ammonium paratungstate) (CAS RN 11120-25-5)"
"2841800090","Other"
"284190","Other"
"28419030","Zincates and vanadates"
"2841903010","Potassium metavanadate (CAS|RN|13769-43-2)"
"2841903090","Other"
"28419085","Other"
"2841908510","Lithium cobalt(III) oxide (CAS RN 12190-79-3) with a cobalt content of at least 59 %"
"2841908520","Potassium titanium oxide in powder form with a purity of 99|% or more (CAS|RN|12056-51-8)"
"2841908530","Tantalates"
"2841908590","Other"
"2842","Other salts of inorganic acids or peroxoacids (including aluminosilicates whether or not chemically defined), other than azides"
"284210","Double or complex silicates, including aluminosilicates whether or not chemically defined"
"2842100010","Synthetic Beta Zeolite powder"
"2842100020","Synthetic chabasite zeolite powder"
"2842100050","Fluorphlogopite (CAS|RN|12003-38-2)"
"2842100060","Aluminosilicate (CAS RN 1318-02-1) with
 
-a purity by weight of 94 % or more,
 
-a zeolite structure of aluminophosphate-eighteen (AEI), and
 
-a phase purity of 90 % or more
for use in the manufacture of copper zeolite"
"2842100090","Other"
"284290","Other"
"28429010","Salts, double salts or complex salts of selenium or tellurium acids"
"2842901010","Sodium selenate (CAS RN 13410-01-0)"
"2842901090","Other"
"28429080","Other"
"2842908020","Potassium peroxymonosulphate sulphate"
"2842908030","Aluminum trititanium dodecachloride (CAS|RN|12003-13-3)"
"2842908040","Lead chromate molybdate  sulphate  red (C.I.  Pigment  Red  104) (CAS RN 12656-85-8)"
"2842908050","Lead sulfochromate yellow (C.I.    Pigment    Yellow 34)  (CAS RN 1344-37-2)"
"2842908060","Potassium hydroxyoctaoxodizincatedichromate (CAS RN 11103-86-9)"
"2842908080","Other"
"2843","VI. MISCELLANEOUS"
"2843","Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals"
"284310","Colloidal precious metals"
"28431010","Silver"
"28431090","Other"
"284321","Silver compounds"
"284321","Silver nitrate"
"284329","Other"
"284330","Gold compounds"
"284390","Other compounds; amalgams"
"28439010","Amalgams"
"28439090","Other"
"2844","Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products"
"284410","Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds"
"28441010","Natural uranium"
"28441010","Crude; waste and scrap"
"28441030","Worked"
"28441050","Ferro-uranium"
"28441090","Other"
"284420","Uranium enriched in U|235|and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U|235, plutonium or compounds of these products"
"28442025","Uranium enriched in U|235|and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U|235|or compounds of these products"
"28442025","Ferro-uranium"
"28442035","Other"
"28442051","Plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing plutonium or compounds of these products"
"28442051","Mixtures of uranium and plutonium"
"28442051","Ferro-uranium"
"28442059","Other"
"28442099","Other"
"284430","Uranium depleted in U|235|and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U|235, thorium or compounds of these products"
"28443011","Uranium depleted in U|235; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U|235|or compounds of this product"
"28443011","Cermets"
"2844301110","Unwrought; waste and scrap"
"2844301190","Other"
"28443019","Other"
"28443051","Thorium; alloys, dispersions (including cermets), ceramic products and mixtures containing thorium or compounds of this product"
"28443051","Cermets"
"2844305110","Unwrought; waste and scrap"
"2844305190","Other"
"28443055","Other"
"28443055","Crude, waste and scrap"
"28443061","Worked"
"28443061","Bars, rods, angles, shapes and sections, sheets and strips"
"28443069","Other"
"28443091","Compounds of uranium depleted in U|235|or of thorium, whether or not mixed together"
"28443091","Of thorium or of uranium depleted in U|235, whether or not mixed together , other than thorium salts"
"28443099","Other"
"284441","Radioactive elements and isotopes and compounds other than those of subheading|2844|10, 2844|20|or 2844|30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues"
"284441","Tritium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing tritium or its compounds"
"28444110","Artificial radioactive isotope ; compounds of artificial radioactive isotope"
"28444190","Other"
"284442","Actinium-225, actinium-227, californium-253, curium-240, curium-241, curium-242, curium-243, curium-244, einsteinium-253, einsteinium-254, gadolinium-148, polonium-208, polonium-209, polonium-210, radium-223, uranium-230|or uranium-232, and their compound"
"28444210","Artificial radioactive isotopes ; compounds of artificial radioactive isotopes"
"28444290","Other"
"284443","Other radioactive elements and isotopes and compounds; other alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds"
"28444310","Uranium derived from U|233|and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures and compounds derived from U|233|or compounds of this product"
"28444320","Artificial radioactive isotopes ; compounds of artificial radioactive isotopes"
"28444380","Other"
"284444","Radioactive residues"
"284450","Spent (irradiated) fuel elements (cartridges) of nuclear reactors"
"2845","Isotopes other than those of heading|2844; compounds, inorganic or organic, of such isotopes, whether or not chemically defined"
"284510","Heavy water (deuterium oxide)"
"284520","Boron enriched in boron-10|and its compounds"
"284530","Lithium enriched in lithium-6|and its compounds"
"284540","Helium-3"
"284590","Other"
"28459010","Deuterium and compounds thereof; hydrogen and compounds thereof, enriched in deuterium; mixtures and solutions containing these products"
"2845901010","4-(Tert-Butyl)-2-(2-(methyl-d3)propan-2-yl-1,1,1,3,3,3-d6)phenol (CAS RN 2342594-40-3) with a purity by weight of 98 % or more"
"2845901090","Other"
"28459090","Other"
"2845909020","Water enriched at a level of 95|% or more by weight with oxygen-18|(CAS RN 14314-42-2)"
"2845909030","($1$3C)Carbon monoxide|(CAS RN 1641-69-6)"
"2845909090","other"
"2846","Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals"
"284610","Cerium compounds"
"2846100010","Rare-earth concentrate containing by weight 60|% or more but not more than 95|% of rare-earth oxides and not more than 1|% each of zirconium oxide, aluminium oxide or iron oxide, and having a loss on ignition of 5|% or more by weight"
"2846100020","Dicerium tricarbonate, whether or not hydrated (CAS RN 537-01-9)"
"2846100030","Cerium lanthanum carbonate, whether or not hydrated"
"2846100090","Other"
"284690","Other"
"28469010","Compounds of lanthanum, praseodymium, neodymium or samarium"
"2846901020","Lanthanum compounds"
"2846901030","Praseodymium compounds"
"2846901040","Neodymium compounds"
"2846901050","Samarium compounds"
"28469020","Compounds of europium, gadolinium, terbium, dysprosium, holmium, erbium, thulium, ytterbium, lutetium or yttrium"
"2846902010","Europium compounds"
"2846902015","Gadolinium compounds"
"2846902020","Terbium compounds"
"2846902025","Dysprosium compounds"
"2846902030","Holmium compounds"
"2846902035","Erbium compounds"
"2846902040","Thulium compounds"
"2846902045","Ytterbium compounds"
"2846902050","Lutetium compounds"
"2846902055","Yttrium compounds"
"28469030","Scandium compounds"
"28469090","Compounds of mixtures of metals"
"2847","Hydrogen peroxide, whether or not solidified with urea"
"2849","Carbides, whether or not chemically defined"
"284910","Of calcium"
"284920","Of silicon"
"284990","Other"
"28499010","Of boron"
"28499030","Of tungsten"
"28499050","Of aluminium; of chromium; of molybdenum; of vanadium; of tantalum; of titanium"
"2849905010","Of tantalum"
"2849905090","Other"
"28499090","Other"
"2850","Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading|2849"
"28500020","Hydrides; nitrides"
"2850002010","Silane (CAS RN 7803-62-5)"
"2850002030","Titanium nitride with a particle size of not more than 250|nm (CAS RN|25583-20-4)"
"2850002040","Germanium tetrahydride (CAS RN 7782-65-2)"
"2850002060","Disilane (CAS|RN|1590-87-0)"
"2850002070","Cubic Boron nitride (CAS RN|10043-11-5)"
"2850002080","Arsine (CAS RN 7784-42-1) with a purity by volume of 99,999 % or more"
"2850002090","Other"
"28500060","Azides; silicides"
"2850006010","Azides"
"2850006010","Sodium azide (CAS RN 26628-22-8)"
"2850006019","Other"
"2850006091","Silicides"
"2850006091","Calcium silicon - a chemical compound that contains by weight 16 % or more of calcium, 45 % or more of silicon, less than 14 % of iron and not more than 10 % of any other element; whether or not presented in bulk, packaged in bags or in steel drums, enclo"
"2850006095","Other"
"28500090","Borides"
"2852","Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams"
"285210","Chemically defined"
"285290","Other"
"2853","Phosphides, whether or not chemically defined, excluding ferrophosphorus; other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams"
"285310","Cyanogen chloride (chlorcyan)"
"285390","Other"
"28539010","Distilled or conductivity water and water of similar purity"
"28539030","Liquid air (whether or not rare gases have been removed); compressed air"
"28539090","Other"
"2853909020","Phosphine (CAS RN 7803-51-2)"
"2853909090","Other"
"29","ORGANIC CHEMICALS"
"2901","I. HYDROCARBONS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES"
"2901","Acyclic hydrocarbons"
"290110","Saturated"
"290121","Unsaturated"
"290121","Ethylene"
"290122","Propene (propylene)"
"290123","Butene (butylene) and isomers thereof"
"290124","Buta-1,3-diene and isoprene"
"290129","Other"
"2902","Cyclic hydrocarbons"
"290211","Cyclanes, cyclenes and cycloterpenes"
"290211","Cyclohexane"
"290219","Other"
"290220","Benzene"
"290230","Toluene"
"290241","Xylenes"
"290241","o-Xylene"
"290242","m-Xylene"
"290243","p-Xylene"
"290244","Mixed xylene isomers"
"290250","Styrene"
"290260","Ethylbenzene"
"290270","Cumene"
"290290","Other"
"2903","Halogenated derivatives of hydrocarbons"
"290311","Saturated chlorinated derivatives of acyclic hydrocarbons"
"290311","Chloromethane (methyl chloride) and chloroethane (ethyl chloride)"
"290312","Dichloromethane (methylene chloride)"
"290313","Chloroform (trichloromethane)"
"290314","Carbon tetrachloride"
"290315","Ethylene dichloride (ISO) (1,2-dichloroethane)"
"290319","Other"
"2903190010","1,1,1-Trichloroethane (methylchloroform)"
"2903190020","1,3-Dichloropropane (CAS RN 142-28-9) with a purity by weight of 99 % or more"
"2903190090","Other"
"290321","Unsaturated chlorinated derivatives of acyclic hydrocarbons"
"290321","Vinyl chloride (chloroethylene)"
"290322","Trichloroethylene"
"2903220010","With a purity by weight of 99 % or more"
"2903220090","Other"
"290323","Tetrachloroethylene (perchloroethylene)"
"290329","Other"
"290341","Saturated fluorinated derivatives of acyclic hydrocarbons"
"290341","Trifluoromethane (HFC-23)"
"290342","Difluoromethane (HFC-32)"
"290343","Fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152a)"
"2903430010","Fluoromethane (methyl fluoride) (HFC-41)"
"2903430020","1,2-difluoroethane (HFC-152)"
"2903430030","1,1-difluoroethane (HFC-152a)"
"290344","Pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-143a) and 1,1,2-trifluoroethane (HFC-143)"
"2903440010","Pentafluoroethane (CAS RN 354-33-6)"
"2903440020","1,1,1-trifluoroethane (HFC-143a)"
"2903440030","1,1,2-trifluoroethane (HFC-143)"
"290345","1,1,1,2-Tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)"
"2903450010","1,1,1,2-tetrafluoroethane (HFC-134a)"
"2903450020","1,1,2,2-tetrafluoroethane (HFC-134)"
"2903450030","1,1,1,2-Tetrafluoroethane (CAS RN 811-97-2) conforming to the following specifications:
 
-not more than 600 ppm by weight of HFC-134 (1,1,2,2-tetrafluoroethane),
 
-not more than 5 ppm by weight of HFC-143a (1,1,1-trifluoroethane),
 
-not more than 2 ppm"
"290346","1,1,1,2,3,3,3-Heptafluoropropane (HFC-227ea), 1,1,1,2,2,3-hexafluoropropane (HFC-236cb), 1,1,1,2,3,3-hexafluoropropane (HFC-236ea) and 1,1,1,3,3,3-hexafluoropropane (HFC-236fa)"
"2903460010","1,1,1,2,3,3,3-heptafluoropropane (HFC-227ea)"
"2903460020","1,1,1,2,2,3-hexafluoropropane (HFC-236cb)"
"2903460030","1,1,1,2,3,3-hexafluoropropane (HFC-236ea)"
"2903460040","1,1,1,3,3,3-hexafluoropropane (HFC-236fa)"
"290347","1,1,1,3,3-Pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)"
"2903470010","1,1,2,2,3-Pentafluoropropane (HFC-245fa)  (CAS RN 460-73-1)"
"2903470020","1,1,1,3,3-pentafluoropropane (HFC-245fa) (CAS RN 460-73-1)"
"290348","1,1,1,3,3-Pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)"
"2903480010","1,1,1,3,3-pentafluorobutane (HFC-365mfc)"
"2903480020","1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-43-10mee)"
"290349","Other"
"29034910","Other pentafluoropropanes, hexafluoropropanes and heptafluoropropanes"
"29034930","Perfluorinated derivatives"
"2903493010","Carbon tetrafluoride (tetrafluoromethane) (CAS RN 75-73-0)"
"2903493020","Perfluoroethane (CAS RN 76-16-4)"
"2903493030","1H-Perfluorohexane (CAS RN 355-37-3)"
"2903493090","Other"
"29034990","Other"
"2903499010","Fluoroethane (ethyl fluoride) (HFC-161)"
"2903499090","Other"
"290351","Unsaturated fluorinated derivatives of acyclic hydrocarbons"
"290351","2,3,3,3-Tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)"
"2903510010","2,3,3,3-Tetrafluoroprop-1-ene (2,3,3,3-tetrafluoropropene) (CAS RN 754-12-1)"
"2903510020","Trans-1,3,3,3-tetrafluoroprop-1-ene (Trans-1,3,3,3-tetrafluoropropene)|(CAS|RN|29118-24-9)"
"2903510090","Other"
"290359","Other"
"2903590020","(Perfluorobutyl) ethylene (CAS RN 19430-93-4)"
"2903590030","Hexafluoropropene (CAS RN 116-15-4)"
"2903590040","1,1,2,3,4,4-hexafluorobuta-1,3-diene (CAS|RN|685-63-2)"
